,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
467,109,安徳 俊彦,D:Q4,D:Q4,"1'50""599",0,"1'48""930",0,"1'48""930",124.22,2019-11-09,2019,Suzuki,D2,GSX-S1000
468,127,長谷川 邦明,MC:パイロットパワー3,MC:パイロットパワー3,"1'54""006",0,"1'49""315",0,"1'49""315",127.38,2019-09-28,2019,Honda,D3,CB1300SF
469,128,水谷 朋,D:GPR300,D:GPR300,"1'44""807",0,"1'45""617",1,"1'44""807",122.13,2019-09-28,2019,Honda,D2,VTR250
470,110,水谷 朋,D:GPR300,D:GPR300,"1'53""148",3,"1'51""642",1,"1'52""642",128.45,2019-11-09,2019,Honda,D2,VTR250
471,133,安藤 正晴,I:RMC810,I:RMC810,"1'50""805",0,"1'51""091",0,"1'50""805",129.12,2019-09-28,2019,Yamaha,D3,MT-07
472,112,安藤 正晴,IRC,IRC,"1'48""663",2,"1'45""902",0,"1'45""902",137.0,2019-06-16,2019,Yamaha,D3,MT-07
473,106,安藤 正晴,I:RMC810,I:RMC810,"1'55""805",0,"1'55""328",0,"1'55""328",131.52,2019-11-09,2019,Yamaha,D3,MT-07
474,136,宮本 憲一,P:スーパーコルサV2,P:スーパーコルサV2,"1'39""108",0,"1'37""540",0,"1'37""540",113.66,2019-09-28,2019,Honda,C2,VTR250F
475,145,江間 聡,CST:CM-SR,CST:CM-SR,"1'31""051",3,"1'29""659",1,"1'30""659",105.64,2019-09-28,2019,Honda,C0,CRF150R2
476,149,川崎 淳,D:Q4,D:Q4,"1'34""038",3,"1'32""138",0,"1'32""138",107.37,2019-09-28,2019,Honda,C1,NSR250R
477,152,川崎 淳,D:,α-14,"1'27""277",2,"1'24""277",1,"1'25""277",113.7,2018-10-20,2018,Honda,C1,NSR250R
478,147,川崎 淳,D:α-13SP,D:α-13SP,"1'24""544",0,"1'23""182",0,"1'23""182",107.61,2019-06-16,2019,Honda,C1,NSR250R
479,150,川崎 淳,D:α-14,D:α-13SP,"1'43""995",1,"1'41""407",0,"1'41""407",108.07,2018-08-18,2018,Honda,C1,NSR250R
